quarter,starter,trade up,premium,city,state
265,2012 Q3,64933.33,132566.7,259900.0,Columbus,Ohio
266,2012 Q3,112750.0,179733.0,299000.0,Camden,New Jersey
267,2012 Q3,69900.0,129900.0,249900.0,Cincinnati,Ohio
268,2012 Q3,60533.33,134916.7,247483.3,Kansas City,Missouri
269,2012 Q3,169600.0,266616.7,478283.3,Montgomery County-Bucks County-Chester County,Pennsylvania
270,2012 Q3,119900.0,199900.0,378266.7,Virginia Beach-Norfolk,Virginia
271,2012 Q3,59600.0,129000.0,269596.0,Philadelphia,Pennsylvania
272,2012 Q3,57166.67,112666.7,238266.7,Pittsburgh,Pennsylvania
273,2012 Q3,199300.0,349900.0,742633.3,San Diego,California
274,2012 Q3,48683.33,121233.3,269933.3,Warren-Troy-Farmington Hills,Michigan
275,2012 Q3,127166.7,224950.0,449333.3,Denver,Colorado
276,2012 Q3,75000.0,165000.0,483266.7,Miami,Florida
277,2012 Q3,68900.0,129300.0,278266.7,San Antonio,Texas
278,2012 Q3,74466.66,129900.0,276333.3,Fort Worth,Texas
279,2012 Q3,99900.0,174933.3,348680.0,Minneapolis-St. Paul,Minnesota
280,2012 Q3,58133.33,118266.7,229600.0,Cleveland,Ohio
281,2012 Q3,69783.34,119908.3,238141.7,Las Vegas,Nevada
282,2012 Q3,103933.3,224933.0,454966.7,Baltimore,Maryland
283,2012 Q3,65748.34,124900.0,251666.7,Indianapolis,Indiana
284,2012 Q3,161633.3,298666.7,564000.0,Newark,New Jersey
285,2012 Q3,102618.3,189000.0,374333.3,Riverside-San Bernardino,California
286,2012 Q3,79933.34,149380.7,317800.0,Nashville,Tennessee
287,2012 Q3,69900.0,140300.0,315221.7,Charlotte,North Carolina
288,2012 Q3,151666.7,309266.7,600333.8,Washington,District of Columbia
289,2012 Q3,79600.0,147716.7,342820.5,Phoenix,Arizona
290,2012 Q3,58633.33,145000.0,434333.3,West Palm Beach,Florida
291,2012 Q3,239166.7,369000.0,687663.3,Long Island,New York
292,2012 Q3,59966.67,129900.0,255300.0,St. Louis,Missouri
293,2012 Q3,204316.7,365000.0,839650.0,Los Angeles,California
294,2012 Q3,55000.0,117300.0,274630.0,Tampa-St. Petersburg,Florida
295,2012 Q3,76633.34,147000.0,324633.3,Dallas,Texas
296,2012 Q3,49900.0,125000.0,299933.3,Atlanta,Georgia
297,2012 Q3,70344.34,129946.7,279933.3,Houston,Texas
